City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,saint-philippe,-21.3585,55.7679,74.8,88,42,9.6,RE,1731184798
312,kyshtovka,56.555,76.6271,25.41,92,100,20.07,RU,1731184800
313,margate,51.3813,1.3862,46.69,87,100,5.64,GB,1731184802
314,ankang,32.68,109.0172,58.89,75,98,1.54,CN,1731184804
315,mil'kovo,55.6078,37.7956,45.34,54,100,10.11,RU,1731184806
316,salalah,17.0151,54.0924,78.89,73,75,5.75,OM,1731184808
317,mount darwin,-16.7725,31.5838,76.62,45,55,6.69,ZW,1731184810
318,chadan,51.2833,91.5833,21.81,46,99,3.29,RU,1731184812
319,khandyga,62.6667,135.6,2.64,98,99,1.83,RU,1731184814
320,worland,44.0169,-107.9554,51.89,46,0,0.0,US,1731184816
321,sao joao da barra,-21.6403,-41.0511,73.49,88,100,16.6,BR,1731184818
322,wellington,-41.2866,174.7756,58.66,85,100,10.36,NZ,1731184789
323,kiiminki,65.1314,25.7974,32.72,73,95,3.2,FI,1731184822
324,hermanus,-34.4187,19.2345,61.81,82,37,14.07,ZA,1731184823
325,miles city,46.4083,-105.8406,56.37,38,0,5.75,US,1731184826
326,arar,30.9753,41.0381,57.22,67,40,4.61,SA,1731184828
327,luderitz,-26.6481,15.1594,58.93,87,62,8.03,NA,1731184829
328,khmilnyk,49.5598,27.9575,35.4,83,7,3.58,UA,1731184832
329,cannonvale,-20.2833,148.7,78.19,76,71,7.9,AU,1731184836
330,kupang,-10.1667,123.5833,81.18,74,20,6.91,ID,1731184837
331,pudozh,61.8099,36.5345,34.56,82,9,7.56,RU,1731184839
332,badiyah,22.45,58.8,73.04,67,0,3.06,OM,1731184841
333,djambala,-2.5447,14.7533,66.04,97,100,1.7,CG,1731184843
334,noosa heads,-26.3833,153.15,73.89,86,94,1.88,AU,1731184846
335,pacific grove,36.6177,-121.9166,69.37,68,0,10.0,US,1731184848
336,kirakira,-10.4544,161.9205,82.42,82,67,6.96,SB,1731184849
337,dryden,49.7833,-92.7503,52.09,46,0,14.97,CA,1731184851
338,altai,46.3722,96.2583,26.89,53,67,12.66,MN,1731184853
339,ati,13.2154,18.3353,79.81,17,77,10.45,TD,1731184856
340,suksun,57.1431,57.3949,34.48,99,100,13.82,RU,1731184858
341,mount pearl,47.5166,-52.7813,41.14,91,75,14.97,CA,1731184859
342,devils lake,48.1128,-98.8651,56.95,67,0,11.5,US,1731184861
343,thinadhoo,0.5333,72.9333,82.53,71,83,11.92,MV,1731184863
344,robertsport,6.7533,-11.3686,81.43,78,100,9.04,LR,1731184865
345,squamish,49.7014,-123.1512,50.85,96,100,3.0,CA,1731184867
346,disina,11.4814,9.919,74.1,24,100,7.9,NG,1731184869
347,coyhaique,-45.5752,-72.0662,46.9,81,24,10.36,CL,1731184871
348,el bauga,18.262,33.9081,84.02,33,0,12.35,SD,1731184873
349,arraial do cabo,-22.9661,-42.0278,71.56,94,75,17.27,BR,1731184875
350,taoudenni,22.6783,-3.9836,78.31,18,79,12.12,ML,1731184877
351,aykhal,66.0,111.5,5.43,93,100,15.86,RU,1731184879
352,salekhard,66.53,66.6019,11.1,83,86,12.24,RU,1731184881
353,kutum,14.2,24.6667,69.58,27,5,10.65,SD,1731184883
354,flin flon,54.7682,-101.865,46.24,53,75,11.5,CA,1731184885
355,shakawe,-18.3667,21.85,79.72,48,77,4.59,BW,1731184887
356,new norfolk,-42.7826,147.0587,52.72,55,97,5.28,AU,1731184889
357,jalal-abad,40.9333,73.0,42.73,68,89,4.14,KG,1731184891
358,ares,-6.1944,-35.1603,76.32,81,27,6.73,BR,1731184893
359,codrington,-38.2667,141.9667,54.41,77,33,1.9,AU,1731184895
360,susuman,62.7833,148.1667,-33.07,100,97,0.63,RU,1731184897
361,harindanga,22.0383,88.3214,72.48,74,0,5.03,IN,1731184899
